Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	LastDailyClose	itiBaseline	tradeSizeBaseline	Sentiment	ClerkArm	ClerkSentiment	Created	ArrivalDate	CurlTime	MktCap	DailyHigh($)	DailyHigh(%)	Headline-RBscore
IMCC	"[""IMCC""]"	nPn1GGmGTa	2026-06-03 16:01:01.631	IM Cannabis Raises US$225,000 of Gross Proceeds in Convertible Note Financing	PR Newswire	2.0	NASDAQ	2026-06-03 16:01:01.653395	0.552	0.0151	0.4329	0.5369	positive	YES	0.206	0.2397	0.1386	0.4397	0.134	2026-06-03 16:01:02.401816											0.3	3.45	75
MDBH	"[""MDBH""]"	nGNX8WX0Lg	2026-06-03 16:05:04.270	MDB Capital to Present at Planet MicroCap Las Vegas 2026 Along with Subsidiary PatentVest and Portfolio Company Buda Juice	Globe Newswire	4.71	NASDAQ	2026-06-03 16:05:04.298576	0.1198	0.0135	0.8667	0.1063	positive	NO:sentiment_score	0.2007	0.174	0.1228	0.3191	0.1018	2026-06-03 16:05:04.774828											3.5	6.71	50
EXYNW	"[""EXYN"", ""EXYNW""]"	nGNX7nTj58	2026-06-03 16:05:04.817	Exyn Technologies Presents at ROTH Capital Partners’ Drone Technology in Global Development Event at the United Nations	Globe Newswire	0.7364	NASDAQ	2026-06-03 16:05:04.834180	0.275	0.0429	0.6821	0.2321	positive	NO:sentiment_score	0.1244	0.0888	0.0958	0.2228	0.1249	2026-06-03 16:05:05.533819													58
EXYN	"[""EXYN"", ""EXYNW""]"	nGNX7nTj58	2026-06-03 16:05:04.817	Exyn Technologies Presents at ROTH Capital Partners’ Drone Technology in Global Development Event at the United Nations	Globe Newswire	3.89	NASDAQ	2026-06-03 16:05:04.833059	0.275	0.0429	0.6821	0.2321	positive	NO:sentiment_score	0.1074	0.0681	0.0808	0.2001	0.1111	2026-06-03 16:05:05.533893											7.0	18.44	58
SNES	"[""SNES""]"	nPnm5JmMa	2026-06-03 16:05:07.829	SenesTech Announces Amendment to Equity Incentive Plan Proposal	PR Newswire	5.08	NASDAQ	2026-06-03 16:05:07.839627	0.2511	0.0663	0.6825	0.1848	positive	NO:sentiment_score	0.3295	0.348	0.174	0.6524	0.2579	2026-06-03 16:05:08.221308											1.67	7.74	50
MTEX	"[""MTEX""]"	nGNEbSCt6D	2026-06-03 16:05:08.589	Mannatech Announces Results of Annual Shareholders’ Meeting	Globe Newswire	0.84	NASDAQ	2026-06-03 16:05:08.615693	0.1172	0.0636	0.8192	0.0536	positive	NO:sentiment_score	0.0903	0.0703	0.0592	0.1912	0.0717	2026-06-03 16:05:09.702120											5.75	-0.35	50
REED	"[""REED""]"	nGNX7SMKtn	2026-06-03 16:05:08.613	Reed’s Receives NYSE Deficiency Notification Regarding Stockholders’ Equity	Globe Newswire	7.04	NYSE AMERICAN	2026-06-03 16:05:08.630468	0.0944	0.1802	0.7254	-0.0858	negative	NO:sentiment_score	0.0872	0.0995	0.0668	0.2433	0.0816	2026-06-03 16:05:09.728192											1.86	-2.11	50
TLYS	"[""TLYS""]"	nBw4mCRHXa	2026-06-03 16:05:08.703	Tilly's, Inc. Fiscal 2026 First Quarter Comp Sales Increase +22.9%	Business Wire	22.43	NYSE	2026-06-03 16:05:08.728069	0.9192	0.0281	0.0527	0.8911	positive	YES	0.3319	0.3812	0.3161	0.9233	0.3343	2026-06-03 16:05:10.558365											5.9	11.53	50
CHPT	"[""CHPT""]"	nBwcjq1Ma	2026-06-03 16:05:08.722	ChargePoint Reports First Quarter Fiscal Year 2027 Financial Results	Business Wire	21.82	NYSE	2026-06-03 16:05:08.738185	0.0974	0.0631	0.8395	0.0344	neutral	NO:sentiment_score	0.1098	0.1186	0.1082	0.9213	0.3507	2026-06-03 16:05:10.835091											8.43	8.63	50
YYGH	"[""YYGH""]"	nPn9WWzlXa	2026-06-03 16:10:00.386	YY Group (NASDAQ: YYGH) Advances AI Training Data Strategy with Launch of Training Lab and Pilot Robotics Deployments in Singapore	PR Newswire	2.03	NASDAQ	2026-06-03 16:10:00.415759	0.7176	0.0094	0.2731	0.7082	positive	YES	0.3337	0.3975	0.2907	0.6454	0.2768	2026-06-03 16:10:01.148887											0.26	30.0	81
KPTI	"[""KPTI""]"	nPn2jFJK8a	2026-06-03 16:15:00.819	Karyopharm to Participate in Webcast Featuring Endometrial Cancer Key Opinion Leader on June 8, 2026	PR Newswire	19.58	NASDAQ	2026-06-03 16:15:00.839252	0.1149	0.0165	0.8687	0.0984	positive	NO:sentiment_score	0.3893	0.3602	0.1933	0.55	0.184	2026-06-03 16:15:01.222106											9.39	4.33	50
ARDT	"[""ARDT""]"	nBw4S0lPQa	2026-06-03 16:15:03.002	Ardent Health to Participate in the Goldman Sachs 47th Annual Global Healthcare Conference	Business Wire	22.46	NYSE	2026-06-03 16:15:03.016920	0.3286	0.0295	0.6419	0.2991	positive	NO:sentiment_score	0.1498	0.1268	0.0811	0.2072	0.0864	2026-06-03 16:15:03.317390											8.6	10.4	50
CELU	"[""CELU"", ""CELUW""]"	nGNXs4w5T	2026-06-03 16:15:05.584	Celularity Releases CEO Letter to Shareholders	Globe Newswire	11.57	NASDAQ	2026-06-03 16:15:05.603638	0.0756	0.0458	0.8786	0.0297	neutral	NO:sentiment_score	0.4353	0.5231	0.3535	0.7228	0.303	2026-06-03 16:15:06.293876											1.08	2.86	50
CELUW	"[""CELU"", ""CELUW""]"	nGNXs4w5T	2026-06-03 16:15:05.584	Celularity Releases CEO Letter to Shareholders	Globe Newswire	18.869	NASDAQ	2026-06-03 16:15:05.605438	0.0756	0.0458	0.8786	0.0297	neutral	NO:sentiment_score	0.4181	0.526	0.3597	0.8008	0.2932	2026-06-03 16:15:06.293986													50
HUBC	"[""HUBC""]"	nGNX2Ldvcs	2026-06-03 16:20:00.421	HUB Announces Reverse Share Split	Globe Newswire	0.0021	NASDAQ	2026-06-03 16:20:00.439845	0.1106	0.0467	0.8426	0.0639	positive	NO:sentiment_score	0.2333	0.2932	0.1149	0.4883	0.0812	2026-06-03 16:20:00.978582											7.37	22.83	50
EPM	"[""EPM""]"	nGNX1by6Dt	2026-06-03 16:30:04.300	Evolution Petroleum to Participate in Water Tower Research Fireside Chat on June 10th	Globe Newswire	32.06	NYSE AMERICAN	2026-06-03 16:30:04.316962	0.175	0.0142	0.8107	0.1608	positive	NO:sentiment_score	0.223	0.1871	0.1275	0.3163	0.1263	2026-06-03 16:30:04.757360											4.55	4.84	50
LOOP	"[""LOOP""]"	nACS4LTJga	2026-06-03 16:30:05.504	Loop Industries Secures Funding to Support Commercial Deployment of Proprietary Chemical Recycling Process for Hard-to-Recycle Plastic Waste	ACCESSWIRE	26.05	NASDAQ	2026-06-03 16:30:05.521409	0.7963	0.0097	0.194	0.7866	positive	YES	0.5579	0.5762	0.4	0.7733	0.5024	2026-06-03 16:30:06.287273											1.33	-4.32	60
ZTR	"[""ZTR""]"	nBw7zWF1Ra	2026-06-03 16:35:00.524	Virtus Total Return Fund Inc. Announces Increase to Monthly Distributions	Business Wire	49.99	NYSE	2026-06-03 16:35:00.549139	0.4577	0.0378	0.5044	0.4199	positive	YES	0.3771	0.4566	0.1467	0.7726	0.244	2026-06-03 16:35:01.294270											6.65	0.76	50
EDF	"[""EDF""]"	nBw2vPpSja	2026-06-03 16:55:00.403	Virtus Stone Harbor Emerging Markets Income Fund Announces Distributions	Business Wire	32.11	NYSE	2026-06-03 16:55:00.421694	0.1074	0.0762	0.8164	0.0312	neutral	NO:sentiment_score	0.1682	0.1289	0.0768	0.2847	0.0671	2026-06-03 16:55:00.814667											5.4	0.75	50
PBYI	"[""PBYI""]"	nBw208xkda	2026-06-03 17:00:00.814	Puma Biotechnology Reports Inducement Awards Under Nasdaq Listing Rule 5635(c)(4)	Business Wire	38.94	NASDAQ	2026-06-03 17:00:00.838650	0.1173	0.0348	0.8479	0.0826	positive	NO:sentiment_score	0.4223	0.4098	0.2881	0.5694	0.32	2026-06-03 17:00:01.277331											7.04	3.38	50
HKIT	"[""HKIT"", ""4JX1""]"	nGNXsCy3T	2026-06-03 17:00:02.806	Univest Securities, LLC Announces Closing of $8 Million Registered Direct Offering for its Client Hitek Global Inc. (NASDAQ: HKIT)	Globe Newswire	0.66	NASDAQ	2026-06-03 17:00:02.835261	0.2003	0.1138	0.6859	0.0865	positive	NO:sentiment_score	0.1897	0.1963	0.1192	0.436	0.1352	2026-06-03 17:00:03.616483											0.51	27.5	62
SRI	"[""SRI""]"	nPn75gdFba	2026-06-03 17:00:03.834	Stoneridge Appoints Scott Humphrey as Chief Financial Officer	PR Newswire	27.4	NYSE	2026-06-03 17:00:03.844958	0.0577	0.0677	0.8746	-0.01	neutral	NO:sentiment_score	0.4324	0.5426	0.3317	0.7911	0.3435	2026-06-03 17:00:04.195627											7.66	1.73	50
TRNR	"[""TRNR""]"	nACSBMdGPa	2026-06-03 17:01:00.613	Interactive Strength, Inc. Announces Change of Date for Annual Meeting of Stockholders to June 8	ACCESSWIRE	2.3309	NASDAQ	2026-06-03 17:01:00.637384	0.0467	0.0487	0.9046	-0.002	neutral	NO:sentiment_score	0.2029	0.1415	0.1065	0.5503	0.0248	2026-06-03 17:01:01.051900											0.82	3.8	50
RM	"[""RM""]"	nNFC4mhNfQ	2026-06-03 17:15:20.068	Roxmore Makes Secondary Payment for Newton Gold Project	Newsfile Corp	8.33	TSX	2026-06-03 17:15:20.091610	0.099	0.0298	0.8711	0.0692	positive	NO:sentiment_score	0.0007	-0.0619	0.0161	0.1945	0.0475	2026-06-03 17:15:20.634094													50
VGI	"[""VGI""]"	nBw6p07BZa	2026-06-03 17:25:00.412	Virtus Global Multi-Sector Income Fund Announces Distributions	Business Wire	11.31	NYSE	2026-06-03 17:25:00.430402	0.0991	0.0722	0.8286	0.0269	neutral	NO:sentiment_score	0.1326	0.0998	0.07	0.2209	0.05	2026-06-03 17:25:00.813947											7.45	0.13	50
POAS	"[""POAS""]"	nGNX1jkTBh	2026-06-03 17:30:00.597	Phaos Technology Holdings (Cayman) Limited Provides Updated Response to Unusual Market Action	Globe Newswire	8.72	NYSE AMERICAN	2026-06-03 17:30:00.618492	0.2211	0.031	0.7478	0.1901	positive	NO:sentiment_score	-0.0334	-0.0405	0.0077	0.1492	-0.0027	2026-06-03 17:30:00.944475											0.39	21.88	40
RENT	"[""RENT""]"	nPnNyZZGa	2026-06-03 17:30:08.086	Maison Perrier® Drops First-Ever Fashion Edit with Rent the Runway to Bring Effortless French Style Stateside this Summer	PR Newswire	23.64	NASDAQ	2026-06-03 17:30:08.111566	0.2782	0.0515	0.6703	0.2267	positive	NO:sentiment_score	0.181	0.2159	0.1739	0.4529	0.1361	2026-06-03 17:30:08.555292											3.83	2.41	50
SEER	"[""SEER""]"	nGNXqXLD3	2026-06-03 18:00:00.980	Seer Files Definitive Proxy Materials and Mails Letter to Stockholders	Globe Newswire	31.66	NASDAQ	2026-06-03 18:00:01.035772	0.0513	0.0181	0.9306	0.0332	neutral	NO:sentiment_score	0.1115	0.1527	0.097	0.7405	0.1405	2026-06-03 18:00:02.484367											1.89	3.28	50
LONA	"[""LONA""]"	nGNX6gPrqX	2026-06-04 07:00:00.804	LeonaBio Presents on ATH-1105 at 5th Annual ALS Drug Development Summit	Globe Newswire	7.2	NASDAQ	2026-06-04 07:00:00.829364	0.2388	0.0161	0.7451	0.2227	positive	NO:sentiment_score	0.3493	0.4301	0.3313	0.812	0.3492	2026-06-04 07:00:02.152073											9.3	9.67	50
STC	"[""STC""]"	nBw5672WPa	2026-06-04 07:00:00.855	Sangoma Announces CFO Transition: Larry Stock to Retire June 30; Adrian Back Named Interim CFO; Board Commences Search for Permanent Successor	Business Wire	29.81	TSX	2026-06-04 07:00:00.881577	0.0395	0.0616	0.8989	-0.0222	neutral	NO:sentiment_score	0.5028	0.5686	0.3404	0.8	0.2837	2026-06-04 07:00:02.850461													50
AEON	"[""AEON""]"	nGNX3m83J2	2026-06-04 07:00:05.342	AEON Biopharma to Present Data Demonstrating Structural and Functional Comparability of ABP-450 to BOTOX® at the 68th Annual Scientific Meeting of the American Headache Society	Globe Newswire	9.08	NYSE AMERICAN	2026-06-04 07:00:05.365272	0.7582	0.0187	0.2231	0.7395	positive	YES	0.3162	0.392	0.2347	0.6983	0.2664	2026-06-04 07:00:06.094336											0.75	2.74	55
USEG	"[""USEG""]"	nGNX7QXXcS	2026-06-04 07:00:08.732	U.S. Energy Corp. Announces Corporate Rebrand to Big Sky Industrial Inc.	Globe Newswire	35.43	NASDAQ	2026-06-04 07:00:08.757794	0.1155	0.0885	0.796	0.027	neutral	NO:sentiment_score	0.3541	0.4551	0.2184	0.7965	0.2602	2026-06-04 07:00:09.748938													50
LIDR	"[""LIDR""]"	nBw821dlGa	2026-06-04 07:00:08.462	AEye Partners with Michigan Department of Transportation to Showcase Physical AI for Real-Time Traffic Intelligence at ITS America	Business Wire	44.24	NASDAQ	2026-06-04 07:00:08.491591	0.4308	0.0107	0.5586	0.4201	positive	YES	0.3498	0.3494	0.1961	0.6142	0.2624	2026-06-04 07:00:09.859376											2.06	1.98	66
ANTX	"[""ANTX""]"	nBw7vkpW7a	2026-06-04 07:00:12.106	AN2 Therapeutics Reports Positive Enabling Data Supporting Advancement of Oral AN2-502998 to Phase 2 Study for Chronic Chagas Disease	Business Wire	26.38	NASDAQ	2026-06-04 07:00:12.139466	0.9204	0.0184	0.0612	0.902	positive	YES	0.3393	0.4562	0.3235	0.764	0.4117	2026-06-04 07:00:13.162609											4.45	5.95	71
CLIK	"[""CLIK""]"	nGNXbrSc7S	2026-06-04 07:00:13.488	Click Holdings Limited (CLIK) Reports Strong Q3 Operational Growth with 73% Revenue Increase	Globe Newswire	0.78	NASDAQ	2026-06-04 07:00:13.544293	0.9349	0.0158	0.0494	0.9191	positive	YES	0.5459	0.7025	0.4678	0.8743	0.5767	2026-06-04 07:00:15.231327											2.36	22.92	66
BYSI	"[""BYSI""]"	nGNX1QWNXz	2026-06-04 07:00:14.633	BeyondSpring Announces Leadership Transition to Deliver Focused Execution on Its Confirmatory DUBLIN-4 Program and Long-Term Value	Globe Newswire	31.2	NASDAQ	2026-06-04 07:00:14.712125	0.9188	0.0148	0.0664	0.9041	positive	YES	0.5149	0.5641	0.4156	0.7944	0.4249	2026-06-04 07:00:19.128362											1.77	1.72	50
OESX	"[""OESX""]"	nGNX5Y0zjj	2026-06-04 07:00:14.705	Orion Reports FY 2026 Revenue of $86M and Adjusted EBITDA of $2.2M After Continued Growth in Q4; Reiterates FY 2027 Expectation of $95M-$97M in Revenue and Positive Adjusted EBITDA	Globe Newswire	3.65	NASDAQ	2026-06-04 07:00:15.236174	0.7258	0.043	0.2311	0.6828	positive	YES	0.7069	0.7605	0.6383	0.9065	0.6419	2026-06-04 07:00:20.436005											10.4	10.4	74
FNGR	"[""FNGR""]"	nNFC3zz6Yl	2026-06-04 07:00:15.254	FingerMotion, Inc. and BlueFlare Energy Solutions Agree to Enter Into Memorandum of Understanding for Development of Behind-the-Meter AI Compute Infrastructure Across Western Canada	Newsfile Corp	46.14	NASDAQ	2026-06-04 07:00:17.210575	0.8873	0.0166	0.0961	0.8706	positive	YES	0.511	0.6165	0.4139	0.8362	0.5065	2026-06-04 07:00:21.736639											1.11	24.72	66
SUGP	"[""SUGP""]"	nPn5GF35ra	2026-06-04 07:00:18.227	SU Group Awarded Next-Generation Cross-Border Security and High-Speed Vehicle Clearance System Installation	PR Newswire	0.47	NASDAQ	2026-06-04 07:00:18.517211	0.7003	0.0099	0.2898	0.6904	positive	YES	0.3945	0.5137	0.3945	0.8237	0.5036	2026-06-04 07:00:22.769623											1.72	17.01	40
NEXM	"[""NEXM""]"	nNFCRvD1d	2026-06-04 07:00:16.395	NexMetals' Final Analytical Results Confirm Selkirk Copper and Nickel Clean Concentrates Meet Commercial Smelter Specifications	Newsfile Corp	34.89	NASDAQ	2026-06-04 07:00:17.499372	0.4984	0.0141	0.4875	0.4842	positive	YES	0.4161	0.5851	0.3999	0.8631	0.3986	2026-06-04 07:00:22.842224											2.84	6.37	50
PSTV	"[""PSTV""]"	nGNX9FkShW	2026-06-04 07:30:00.868	Plus Therapeutics Announces CAP Accreditation of CNSide® Diagnostics Clinical Laboratory	Globe Newswire	6.84	NASDAQ	2026-06-04 07:30:00.914414	0.3725	0.043	0.5845	0.3294	positive	NO:sentiment_score	0.6019	0.6342	0.4673	0.822	0.4881	2026-06-04 07:30:02.290369											6.03	11.46	50
SMID	"[""SMID""]"	nBwM1pXsa	2026-06-04 07:40:00.354	REG-First Trust Global Funds PLC Net Asset Value(s)	Business Wire	4.57	LSE	2026-06-04 07:40:00.366045	0.0738	0.0729	0.8534	0.0009	neutral	NO:sentiment_score	0.8595	0.5589	0.2046	0.328	0.2054	2026-06-04 07:40:00.450786													50
MSW	"[""MSW""]"	nGNX7yX67N	2026-06-04 07:45:00.273	Ming Shing Group Holdings Limited Announces Resignation of Director and Re-designation of Chief Executive Officer	Globe Newswire	4.56	NASDAQ	2026-06-04 07:45:00.295367	0.0469	0.4643	0.4888	-0.4174	negative	NO:sentiment_score	0.0516	0.0584	0.0396	0.3145	0.0354	2026-06-04 07:45:00.900838											1.8	10.43	50
KIDZ	"[""KIDZ"", ""KIDZW""]"	nACSd9t2Za	2026-06-04 07:45:01.434	KIDZ AI Announces Reverse Stock Split	ACCESSWIRE	6.67	NASDAQ	2026-06-04 07:45:01.456963	0.1278	0.0885	0.7837	0.0393	neutral	NO:sentiment_score	0.1084	0.0988	0.07	0.3345	0.0692	2026-06-04 07:45:02.951634											3.52	0.57	58
KIDZW	"[""KIDZ"", ""KIDZW""]"	nACSd9t2Za	2026-06-04 07:45:01.434	KIDZ AI Announces Reverse Stock Split	ACCESSWIRE	7.8	NASDAQ	2026-06-04 07:45:01.458275	0.1278	0.0885	0.7837	0.0393	neutral	NO:sentiment_score	0.1086	0.0991	0.0732	0.3345	0.0745	2026-06-04 07:45:02.951770													58
SEVN	"[""SEVN""]"	nACS7bWBta	2026-06-04 07:59:01.203	Kaskela Law LLC Announces Shareholder Investigation of Seven Hills Realty Trust and Encourages Investors With Losses to Contact The Firm - SEVN	ACCESSWIRE	21.84	NASDAQ	2026-06-04 07:59:01.236390	0.1037	0.0558	0.8406	0.0479	neutral	NO:sentiment_score	-0.1508	-0.1939	-0.0357	0.1185	-0.0715	2026-06-04 07:59:01.491449											8.64	1.77	2
UP	"[""UP""]"	nACS4F3GYa	2026-06-04 07:59:01.570	Kaskela Law LLC Announces Shareholder Investigation of Wheels Up Experience Inc. and Encourages Investors with Losses to Contact the Firm - UP	ACCESSWIRE	22.36	NYSE	2026-06-04 07:59:01.586660	0.1408	0.0635	0.7958	0.0773	positive	NO:sentiment_score	-0.1196	-0.1797	-0.0254	0.1568	-0.0497	2026-06-04 07:59:02.057598											9.05	5.23	2
KLRS	"[""KLRS""]"	nACSwq8kla	2026-06-04 07:59:01.644	Kaskela Law LLC Announces Investigation on Behalf of Kalaris Therapeutics, Inc. Shareholders and Encourages Investors With Losses to Contact The Firm - KLRS	ACCESSWIRE	7.9	NASDAQ	2026-06-04 07:59:01.667709	0.166	0.1132	0.7209	0.0528	positive	NO:sentiment_score	-0.1382	-0.1937	-0.0216	0.2016	-0.048	2026-06-04 07:59:02.172716											4.83	2.33	2
CSPI	"[""CSPI""]"	nACSvTKZRa	2026-06-04 08:00:02.377	CSPi Technology Solutions Named to CRN's 2026 Tech Elite 250 List for Sixth Consecutive Year	ACCESSWIRE	7.05	NASDAQ	2026-06-04 08:00:02.402357	0.625	0.0579	0.3171	0.5671	positive	YES	0.6437	0.6173	0.4012	0.8393	0.5193	2026-06-04 08:00:02.991623											9.76	6.43	50
SNES	"[""SNES""]"	nPn5JbQla	2026-06-04 08:00:04.610	SenesTech Expands Distribution of Evolve® Rodent Birth Control™ into Bermuda	PR Newswire	5.08	NASDAQ	2026-06-04 08:00:04.624858	0.2735	0.0094	0.7171	0.2641	positive	NO:sentiment_score	0.4415	0.5094	0.3805	0.7632	0.4938	2026-06-04 08:00:05.337620											1.67	7.74	50
VCIG	"[""VCIG""]"	nGNX6RK2nM	2026-06-04 08:00:04.574	VCI Global Provides Strategic Business Update as Institutional Shareholder Base Expands	Globe Newswire	3.91	NASDAQ	2026-06-04 08:00:04.600905	0.1364	0.0151	0.8485	0.1213	positive	NO:sentiment_score	0.3337	0.3785	0.2561	0.5952	0.2068	2026-06-04 08:00:05.510456											9.07	14.81	58
LNZA	"[""LNZA"", ""LNZAW""]"	nGNXb81vV3	2026-06-04 08:00:08.856	LanzaTech JV Successful IPO Underscores Strategic Value of More Secure Fuel Supply	Globe Newswire	6.5	NASDAQ	2026-06-04 08:00:08.893532	0.8718	0.015	0.1132	0.8568	positive	YES	0.4477	0.5255	0.3398	0.7546	0.3636	2026-06-04 08:00:10.465359											7.33	33.76	68
NXTC	"[""NXTC""]"	nGNXcbMY7R	2026-06-04 08:00:08.862	NXTC Announces Replay Available for Virtual KOL Event Discussing ASCO 2026 Dose Escalation Data from Phase 1 Trial of SIM0505 for Gynecologic Cancers	Globe Newswire	2.42	NASDAQ	2026-06-04 08:00:08.922170	0.179	0.0401	0.7809	0.1389	positive	NO:sentiment_score	0.1004	0.0946	0.0772	0.1568	0.0728	2026-06-04 08:00:10.653125											3.4	9.32	71
SCNX	"[""SCNX""]"	nACSmgKJJa	2026-06-04 08:00:11.340	SCIENTURE to Present at The Small Cap Showcase & WTR Insights on June 9, 2026, in NYC	ACCESSWIRE	20.89	NASDAQ	2026-06-04 08:00:11.383187	0.0674	0.0232	0.9094	0.0443	neutral	NO:sentiment_score	0.2454	0.2022	0.1146	0.3089	0.1182	2026-06-04 08:00:12.248845											0.38	-2.56	50
DGNX	"[""DGNX""]"	nGNX2VBKKh	2026-06-04 08:00:11.113	Diginex Expands Supply Chain End-to-End Product Suite Amid Accelerating Regulatory Pressure	Globe Newswire	16.57	NASDAQ	2026-06-04 08:00:11.145787	0.8607	0.0174	0.122	0.8433	positive	YES	0.2326	0.3132	0.2326	0.7845	0.1816	2026-06-04 08:00:12.485352											1.14	6.54	50
KAPA	"[""KAPA""]"	nBw4Pv3p4a	2026-06-04 08:00:11.506	Kairos Pharma Recaps Important Acquisitions and Details Plans for the Balance of 2026 in Letter to Shareholders	Business Wire	12.65	NYSE AMERICAN	2026-06-04 08:00:11.586088	0.1049	0.0181	0.877	0.0868	positive	NO:sentiment_score	0.5223	0.5875	0.5001	0.7421	0.4952	2026-06-04 08:00:13.588634											0.5	11.11	62
IMNN	"[""IMNN""]"	nGNX3N462R	2026-06-04 08:00:11.613	IMUNON Announces Up to $10 Million Cash Financing	Globe Newswire	4.02	NASDAQ	2026-06-04 08:00:11.673625	0.2556	0.0118	0.7326	0.2438	positive	NO:sentiment_score	0.6499	0.6953	0.5373	0.9014	0.4925	2026-06-04 08:00:14.159899											2.31	8.96	75
HOVR	"[""HOVR""]"	nACSpMP9Ca	2026-06-04 08:00:12.562	Horizon Aircraft Appoints Richard Alexander as Chief Engineer of Certified Programs	ACCESSWIRE	34.97	NASDAQ	2026-06-04 08:00:12.582582	0.1039	0.0193	0.8768	0.0846	positive	NO:sentiment_score	0.4269	0.4934	0.2836	0.7658	0.3267	2026-06-04 08:00:15.245487											2.58	9.32	50
BRCB	"[""BRCB""]"	nGNX7trlQk	2026-06-04 08:00:12.577	Black Rock Coffee Bar Continues Expansion in Colorado with New Denver Location	Globe Newswire	20.99	NASDAQ	2026-06-04 08:00:12.595403	0.7694	0.0117	0.2189	0.7577	positive	YES	0.2777	0.4066	0.2471	0.7058	0.3047	2026-06-04 08:00:16.189687											7.22	3.88	50
DARE	"[""DARE""]"	nGNX6R01q4	2026-06-04 08:00:12.573	Daré Bioscience Announces the Upcoming Launch of Flora Sync LF5™ Vaginal Probiotic Capsules	Globe Newswire	13.73	NASDAQ	2026-06-04 08:00:12.601487	0.2507	0.0201	0.7292	0.2306	positive	NO:sentiment_score	0.298	0.373	0.288	0.6561	0.3593	2026-06-04 08:00:16.326984											2.24	12.0	50
MODD	"[""MODD""]"	nACShMNm4a	2026-06-04 08:00:12.586	Modular Medical Launches New Website for Pivot Tubeless Insulin Patch Pump	ACCESSWIRE	5.03	NASDAQ	2026-06-04 08:00:12.605725	0.1989	0.0164	0.7847	0.1824	positive	NO:sentiment_score	0.3349	0.3785	0.2187	0.6228	0.2726	2026-06-04 08:00:17.249630											5.08	8.32	50
CELU	"[""CELU"", ""CELUW""]"	nGNX8CVX8x	2026-06-04 08:00:12.687	Celularity and Fountain Life Announce Availability of Cenplacel-L for Investigational Use Under New Florida Law, Establishing Scalable Pathway for Advancement of Placental-Derived Cell Therapies	Globe Newswire	11.57	NASDAQ	2026-06-04 08:00:13.597652	0.7602	0.0108	0.229	0.7494	positive	YES	0.4815	0.5775	0.4815	0.665	0.4776	2026-06-04 08:00:17.845759											1.08	2.86	50
CELUW	"[""CELU"", ""CELUW""]"	nGNX8CVX8x	2026-06-04 08:00:12.687	Celularity and Fountain Life Announce Availability of Cenplacel-L for Investigational Use Under New Florida Law, Establishing Scalable Pathway for Advancement of Placental-Derived Cell Therapies	Globe Newswire	18.869	NASDAQ	2026-06-04 08:00:14.175164	0.7602	0.0108	0.229	0.7494	positive	YES	0.4961	0.5907	0.4729	0.7871	0.4731	2026-06-04 08:00:17.846588													50
ALBT	"[""ALBT""]"	nGNX271Blb	2026-06-04 08:00:12.701	Avalon GloboCare Appoints Seasoned AI and Finance Executive as Chief Financial Officer	Globe Newswire	10.79	NASDAQ	2026-06-04 08:00:14.722251	0.1407	0.0394	0.8199	0.1013	positive	NO:sentiment_score	0.3977	0.5205	0.2676	0.7522	0.2212	2026-06-04 08:00:18.169691											0.39	11.43	73
MOBX	"[""MOBX""]"	nBw7hm1pNa	2026-06-04 08:00:12.805	Mobix Labs to Acquire U.S.-Built Drone Manufacturer Vision Aerial, Expanding Into Global Drone and Aerial Intelligence Markets	Business Wire	11.05	NASDAQ	2026-06-04 08:00:16.193115	0.2003	0.0116	0.788	0.1887	positive	NO:sentiment_score	0.3517	0.437	0.2656	0.7542	0.2477	2026-06-04 08:00:19.650247											3.21	44.59	62
MIRA	"[""MIRA""]"	nACSJ3sRra	2026-06-04 08:00:12.818	MIRA Pharmaceuticals Secures Worldwide Exclusive Rights to MIRA-55 and SKNY-1	ACCESSWIRE	35.08	NASDAQ	2026-06-04 08:00:16.333179	0.4318	0.0133	0.5549	0.4186	positive	YES	0.4605	0.5567	0.4145	0.8303	0.4363	2026-06-04 08:00:20.507175											1.09	10.1	60
HDRN	"[""HDRN""]"	nBw5Zb54Ta	2026-06-04 08:00:12.875	Hadron Energy Announces NRC Acceptance of Quality Assurance Program Description for Future Manufacturing License Applications, a First for a Light-Water Microreactor	Business Wire	20.0	NASDAQ	2026-06-04 08:00:17.850412	0.8219	0.0113	0.1668	0.8106	positive	YES	0.3307	0.3874	0.2455	0.6501	0.2667	2026-06-04 08:00:21.788129											2.96	7.64	50
ZCMD	"[""ZCMD""]"	nPn998Yk0a	2026-06-04 08:00:13.058	Zhongchao Inc. Announces 1-for-31 Share Consolidation	PR Newswire	3.12	NASDAQ	2026-06-04 08:00:18.186804	0.0771	0.0665	0.8563	0.0106	neutral	NO:sentiment_score	0.1101	0.093	0.0638	0.1561	0.0884	2026-06-04 08:00:22.314245											1.79	11.87	50
