Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	positive	negative	neutral	sentiment_score	label	Trades/sec	Trigger	Exchange	DailyHigh($)	DailyHigh(%)	FinBERTCompletedAt	body_sentiment	BodyCompletedAt	body_duration_ms	neutral_filter	confidence_weighted	net_score	top_k	positional	recommended
ARDT	"[""ARDT""]"	nACS2V07ta	2026-05-07 11:00:04	Ardent Health, Inc. (ARDT) Investigation: Bronstein, Gewirtz & Grossman, LLC Encourages Shareholders to Contact the Firm to Learn More About the Investigation	ACCESSWIRE	22.42	0.153	0.0421	0.8049	0.111	positive		YES	NYSE	9.98	6.51	2026-05-07 11:00:04				-0.0342	-0.0185	-0.0114	-0.0158	-0.0186	-0.0342
LEE	"[""LEE""]"	nACSbfhDBa	2026-05-07 11:00:05	Bronstein, Gewirtz & Grossman, LLC Initiates an Investigation into Allegations Against Lee Enterprises, Inc. (LEE) And Encourages Stockholders to Reach Out	ACCESSWIRE	5.91	0.1836	0.0697	0.7467	0.114	positive		YES	NASDAQ	8.31	1.96	2026-05-07 11:00:05				-0.1949	-0.1346	-0.0327	-0.084	-0.0536	-0.293
YOOV	"[""YOOV""]"	nNFC13gs64	2026-05-07 11:13:16	CIGL CLASS ACTION NOTICE: Faruqi & Faruqi, LLP Reminds Concorde International (YOOV) Investors of Securities Class Action Deadline on May 20, 2026	Newsfile Corp	5.91	0.0806	0.0955	0.8239	-0.0149	neutral		NO:sentiment_score	NASDAQ	1.47	5.0	2026-05-07 11:13:16				-0.0119	-0.0869	0.0086	0.4686	0.043	-0.1079
GEMI	"[""GEMI""]"	nNFC77LcM8	2026-05-07 11:47:27	GEMI 11-DAY DEADLINE ALERT: Gemini Space Station Investors with Substantial Losses Have Opportunity to Lead Investor Class Action - Hagens Berman	Newsfile Corp	38.2	0.191	0.0434	0.7656	0.1476	positive		YES	NASDAQ	5.08	0.79	2026-05-07 11:47:27				-0.098	-0.2333	-0.0533	0.2767	-0.134	-0.267
PROP	"[""PROP""]"	nPn7fdjBda	2026-05-07 11:58:00	SHAREHOLDER ALERT: Purcell & Lefkowitz LLP Announces Shareholder Investigation of Prairie Operating Co. (NASDAQ: PROP)	PR Newswire	36.15	0.138	0.1319	0.7301	0.0061	neutral		NO:sentiment_score	NASDAQ	1.09	1.87	2026-05-07 11:58:00				-0.0279	-0.0491	0.0037	0.0544	-0.0122	-0.0832
FCHL	"[""FCHL""]"	nGNX66BFwq	2026-05-07 12:00:00	Bronstein, Gewirtz & Grossman LLC Urges Fitness Champs Holdings Ltd. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	0.35	0.144	0.192	0.664	-0.048	neutral		NO:sentiment_score	NASDAQ	2.8	3.7	2026-05-07 12:00:00				-0.3472	-0.3472	-0.3472	-0.3472	-0.3472	-0.3472
TOMZ	"[""TOMZ""]"	nGNX4GP6Zw	2026-05-07 12:00:00	TOMI Environmental Solutions’ Binary Ionization Technology Approved in Additional European Union Countries	Globe Newswire	11.66	0.5362	0.0149	0.4489	0.5213	positive		YES	NASDAQ	0.73	15.87	2026-05-07 12:00:00				0.3566	0.4628	0.2575	0.8698	0.4487	0.5028
CHOW	"[""CHOW""]"	nGNX7VcFfT	2026-05-07 12:00:00	Bronstein, Gewirtz & Grossman LLC Urges ChowChow Cloud International Holdings Ltd. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	10.64	0.1333	0.3273	0.5394	-0.194	negative		NO:sentiment_score	NYSE American	0.44	2.33	2026-05-07 12:00:00				0.0415	0.0512	0.0359	0.3343	0.0015	0.0563
BRTX	"[""BRTX""]"	nGNX4nVmrS	2026-05-07 12:00:00	BioRestorative Therapies Reports Expanded Phase 2 Blinded Dataset for BRTX-100 Showing Sustained Pain and Functional Improvements in Chronic Lumbar Disc Disease	Globe Newswire	22.39	0.8884	0.0358	0.0759	0.8526	positive		YES	NASDAQ	0.25	8.7	2026-05-07 12:00:00				0.6791	0.6455	0.4558	0.4558	0.358	0.6878
LSF	"[""LSF""]"	nPn4tPbCha	2026-05-07 12:02:00	Laird Superfood® Transforms Its Prebiotic Daily Greens to Be USDA Certified Organic	PR Newswire	7.72	0.3271	0.0106	0.6624	0.3165	positive		YES	NYSE American	3.2	7.38	2026-05-07 12:02:00				0.2922	0.3393	0.2203	0.3209	0.2312	0.3768
JFB	"[""JFB""]"	nGNX54Tprs	2026-05-07 12:23:08	XTEND Secures $2.2 Million Contract for Advanced Autonomous Aerial Defense Systems	Globe Newswire	5.85	0.8759	0.014	0.1101	0.8618	positive		YES	NASDAQ	6.04	5.59	2026-05-07 12:23:08				0.508	0.5999	0.3808	0.7156	0.6168	0.649
YOOV	"[""YOOV""]"	nGNX3rN1z2	2026-05-07 12:45:18	CONCORDE DEADLINE: ROSEN, SKILLED INVESTOR COUNSEL, Encourages Concorde International Group Ltd. Investors to Secure Counsel Before Important May 20 Deadline in Securities Class Action - YOOV	Globe Newswire	5.91	0.2118	0.0339	0.7543	0.178	positive		YES	NASDAQ	1.47	5.0	2026-05-07 12:45:18				0.0846	0.0846	0.0846	0.0846	0.0846	0.0846
GCTK	"[""GCTK""]"	nGNX2wD6yd	2026-05-07 13:00:00	Glucotrack Announces IDE Submission for U.S. Clinical Study of its Novel Implantable Continuous Blood Glucose Monitoring Technology	Globe Newswire	1.82	0.2419	0.0182	0.7399	0.2237	positive		YES	NASDAQ	0.93	16.25	2026-05-07 13:00:00				0.3678	0.3788	0.2042	0.7061	0.4281	0.4385
AARD	"[""AARD""]"	nPn4lcL1la	2026-05-07 13:30:01	Aardvark Therapeutics (AARD) Faces Investor Scrutiny Amid 56% Drop On Clinical Pause For Lead Drug Candidate- Hagens Berman	PR Newswire	12.07	0.123	0.8344	0.0425	-0.7114	negative		NO:sentiment_score	NASDAQ	5.81	-1.36	2026-05-07 13:30:01				-0.1256	-0.0715	-0.0244	-0.065	-0.058	-0.1185
KORE	"[""KORE""]"	nGNXc3D1jh	2026-05-07 13:32:42	SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Investors of an Investigation into KORE Group Holdings, Inc. (“KORE”).	Globe Newswire	3.39	0.1284	0.1173	0.7543	0.0111	neutral		NO:sentiment_score	NYSE	9.16	0.11	2026-05-07 13:32:42				-0.0162	-0.0666	0.0103	0.1166	0.0065	-0.1149
SHPH	"[""SHPH""]"	nGNX2mKLld	2026-05-07 14:02:34	E.F. Hutton & Co. Serves as Exclusive M&A Advisor and Placement Agent on Completed Shuttle Pharmaceuticals–United Dogecoin Merger to Create the Largest Public Dogecoin Miner	Globe Newswire	4.87	0.2528	0.0117	0.7355	0.2411	positive		YES	NASDAQ	0.78	4.0	2026-05-07 14:02:34				0.1537	0.1537	0.1537	0.1537	0.1537	0.1537
GEMI	"[""GEMI""]"	nPn4H7Tjta	2026-05-07 15:05:00	Gemini Space Station, Inc. (GEMI) Shareholders Who Lost Money Have Opportunity to Lead Securities Fraud Lawsuit	PR Newswire	38.2	0.0537	0.4348	0.5114	-0.3811	negative		NO:sentiment_score	NASDAQ	5.08	0.79	2026-05-07 15:05:00				-0.0098	-0.0024	-0.0095	-0.0095	-0.023	-0.0013
CHOW	"[""CHOW""]"	nPnhD3jza	2026-05-07 15:06:00	ChowChow Cloud International Holdings Limited (CHOW) Shareholders Who Lost Money Have Opportunity to Lead Securities Fraud Lawsuit	PR Newswire	10.64	0.1001	0.3001	0.5998	-0.2	negative		NO:sentiment_score	NYSE American	0.44	2.33	2026-05-07 15:06:00				0.0072	0.0107	0.005	0.005	-0.0103	0.0126
ENGN	"[""ENGN""]"	nGNX9tF33T	2026-05-07 15:35:35	enGene Therapeutics Inc. Shareholders Are Encouraged to Reach Out to Johnson Fistel for More Information About Potentially Recovering Their Losses	Globe Newswire	33.44	0.6633	0.0193	0.3174	0.644	positive		YES	NASDAQ	8.85	0.0	2026-05-07 15:35:35									
EPOW	"[""EPOW""]"	nGNX9Z6bcx	2026-05-07 15:45:00	E-Power Subsidiary Awarded Key Patent for Advanced Silicon-Carbon Composite Materials, Strengthening Solid-State Battery Innovation	Globe Newswire	25.58	0.89	0.0127	0.0973	0.8773	positive		YES	NASDAQ	0.88	44.26	2026-05-07 15:45:00				0.7312	0.6723	0.3831	0.3831	0.5821	0.7312
RMAX	"[""RMAX""]"	nACSfKKlDa	2026-05-07 15:46:00	$RMAX Stock Alert: RE/MAX Holdings Board Hit with Investigation Over $13.80 Merger Announcement -- Investors Have Rights	ACCESSWIRE	15.32	0.0909	0.7587	0.1503	-0.6678	negative		NO:sentiment_score	NYSE	11.4	7.24	2026-05-07 15:46:00				-0.2109	-0.1157	-0.0458	-0.0616	-0.0795	-0.2109
CVV	"[""CVV""]"	nBwjhKK5a	2026-05-07 16:00:00	CVD Equipment Corporation to Report First Quarter 2026 Financial Results on May 14, 2026	Business Wire	5.35	0.0826	0.0559	0.8615	0.0266	neutral		NO:sentiment_score	NASDAQ	8.35	11.19	2026-05-07 16:00:00				0.0074	0.0235	0.0296	0.0296	0.0188	0.008
INMB	"[""INMB""]"	nGNX2Q02d3	2026-05-07 16:00:00	INmune Bio Inc. Announces First Quarter 2026 Results and Provides Business Update	Globe Newswire	22.06	0.0539	0.037	0.9091	0.017	neutral		NO:sentiment_score	NASDAQ	1.54	0.65	2026-05-07 16:00:00				0.0712	0.0665	0.0555	0.182	0.1115	0.078
CRSR	"[""CRSR""]"	nBw21bTX5a	2026-05-07 16:00:00	Corsair Reports Strong Profit Growth for First Quarter 2026	Business Wire	45.66	0.9384	0.0146	0.047	0.9238	positive		YES	NASDAQ	8.15	10.88	2026-05-07 16:00:00				0.0299	0.1042	0.0248	0.27	0.6284	0.1103
SENS	"[""SENS""]"	nGNX9rTfxD	2026-05-07 16:01:00	Senseonics Holdings, Inc. Reports First Quarter 2026 Financial Results	Globe Newswire	39.99	0.0745	0.0798	0.8457	-0.0053	neutral		NO:sentiment_score	NASDAQ	5.66	5.79	2026-05-07 16:01:00				0.0166	-0.0408	0.0181	0.1524	0.1088	-0.0478
PROP	"[""PROP""]"	nGNE8NFj6h	2026-05-07 16:01:00	Prairie Operating Co. Announces First Quarter 2026 Earnings Release Date and Conference Call	Globe Newswire	36.15	0.0357	0.052	0.9123	-0.0163	neutral		NO:sentiment_score	NASDAQ	1.09	1.87	2026-05-07 16:01:00				0.0527	0.0438	0.0408	0.0562	0.039	0.0476
QRHC	"[""QRHC""]"	nGNX2xHFp0	2026-05-07 16:01:00	Quest Resource Holding Corporation Reports First Quarter 2026 Financial Results	Globe Newswire	15.53	0.1081	0.1123	0.7795	-0.0042	neutral		NO:sentiment_score	NASDAQ	1.17	6.36	2026-05-07 16:01:00				0.3368	0.4038	0.2237	0.2237	0.1191	0.4426
VYGR	"[""VYGR""]"	nGNX4pbJX1	2026-05-07 16:01:00	Voyager Reports First Quarter 2026 Financial and Operating Results	Globe Newswire	49.62	0.1679	0.1218	0.7103	0.046	neutral		NO:sentiment_score	NASDAQ	4.14	-0.96	2026-05-07 16:01:00				0.1087	0.0199	0.0891	0.3863	0.2633	0.0152
ARCT	"[""ARCT""]"	nBw5QGySDa	2026-05-07 16:01:01	Arcturus Therapeutics Announces First Quarter 2026 Financial Results and Pipeline Progress	Business Wire	26.03	0.1701	0.0624	0.7676	0.1077	positive		YES	NASDAQ	9.19	3.61	2026-05-07 16:01:01				0.2699	0.2483	0.1878	0.2699	0.1627	0.2957
NRDY	"[""NRDY""]"	nBw7VwLMGa	2026-05-07 16:01:01	Nerdy Announces First Quarter 2026 Financial Results	Business Wire	46.69	0.139	0.1294	0.7316	0.0097	neutral		NO:sentiment_score	NYSE	0.94	8.05	2026-05-07 16:01:01				0.2986	0.1871	0.12	0.12	0.0295	0.2986
ANTX	"[""ANTX""]"	nBw2dShKFa	2026-05-07 16:01:01	AN2 Therapeutics to Participate in 2026 Stifel Virtual Targeted Oncology Forum	Business Wire	20.65	0.1827	0.0094	0.8079	0.1733	positive		YES	NASDAQ	4.78	2.8	2026-05-07 16:01:01				0.0	0.0637	0.0637	0.0637	0.0637	0.0
REFR	"[""REFR""]"	nGNX6kmZPd	2026-05-07 16:01:01	Research Frontiers Reports First Quarter 2026 Financial Results and Will Host a Conference Call at 4:30 p.m. Today	Globe Newswire	27.11	0.0441	0.0257	0.9302	0.0184	neutral		NO:sentiment_score	NASDAQ	0.99	15.12	2026-05-07 16:01:01				0.0974	0.0851	0.0797	0.0974	0.0826	0.0942
RILY	"[""RILY""]"	nPn7PHLxca	2026-05-07 16:01:01	BRC Group Holdings, Inc. Reports First Quarter 2026 Financial Results	PR Newswire	23.59	0.0885	0.1243	0.7872	-0.0358	neutral		NO:sentiment_score	NASDAQ	9.19	1.32	2026-05-07 16:01:01				-0.07	-0.146	-0.0284	0.1203	0.1129	-0.1794
BJDX	"[""BJDX""]"	nGNX64BHnj	2026-05-07 16:01:02	Bluejay Diagnostics Provides First Quarter 2026 Corporate Update	Globe Newswire	0.92	0.0897	0.0344	0.8759	0.0552	positive		YES	NASDAQ	1.9	0.53	2026-05-07 16:01:02				0.5718	0.627	0.4361	0.5718	0.5692	0.6556
SIGA	"[""SIGA""]"	nGNX78zc2H	2026-05-07 16:01:03	SIGA Reports Financial Results for Three Months Ended March 31, 2026 and Provides Business Update	Globe Newswire	40.55	0.0421	0.0379	0.9201	0.0042	neutral		NO:sentiment_score	NASDAQ	4.87	4.73	2026-05-07 16:01:03				0.0036	0.0036	0.0036	0.0036	0.0036	0.0036
OM	"[""OM""]"	nGNX2Ds0Jl	2026-05-07 16:02:00	Outset Medical Reports First-Quarter Results 	Globe Newswire	17.48	0.083	0.1496	0.7674	-0.0665	negative		NO:sentiment_score	NASDAQ	4.71	6.8	2026-05-07 16:02:00				-0.0292	-0.0335	-0.0118	-0.0292	0.0842	-0.0436
FLL	"[""FLL""]"	nGNX2Q9XTT	2026-05-07 16:02:00	Full House Resorts Announces Strong First Quarter Results	Globe Newswire	33.42	0.8465	0.0583	0.0952	0.7882	positive		YES	NASDAQ	2.74	8.73	2026-05-07 16:02:00				-0.0095	-0.0095	-0.0095	-0.0095	-0.0095	-0.0095
NVVE	"[""NVVE""]"	nBw6jJpTya	2026-05-07 16:05:00	Nuvve to Provide First Quarter Ended March 31, 2026, Financial Update	Business Wire	4.22	0.0476	0.0822	0.8702	-0.0346	neutral		NO:sentiment_score	NASDAQ	0.48	29.73	2026-05-07 16:05:00				0.2384	0.2121	0.1638	0.1638	0.151	0.2552
INGN	"[""INGN""]"	nBw1f2SdJa	2026-05-07 16:05:00	Inogen Announces First Quarter 2026 Financial Results	Business Wire	23.91	0.1241	0.1454	0.7304	-0.0213	neutral		NO:sentiment_score	NASDAQ	7.43	4.5	2026-05-07 16:05:00				0.4323	0.4056	0.2945	0.2945	0.4807	0.4477
FNKO	"[""FNKO""]"	nBw8F7b9Da	2026-05-07 16:05:01	Funko Reports Strong First Quarter 2026 Financial Results; Reiterates 2026 Full-Year Outlook	Business Wire	39.63	0.9213	0.024	0.0547	0.8972	positive		YES	NASDAQ	4.95	13.27	2026-05-07 16:05:01				0.6288	0.6326	0.6288	0.6288	0.5644	0.6326
MYO	"[""MYO""]"	nBw1j9F2ba	2026-05-07 16:05:01	Myomo Reports First Quarter 2026 Financial and Operating Results	Business Wire	35.41	0.3098	0.1351	0.5551	0.1747	positive		YES	NYSE American	0.95	11.76	2026-05-07 16:05:01				0.8964	0.82	0.4737	0.4737	0.8779	0.8964
DNA	"[""DNA""]"	nPn8DthVXa	2026-05-07 16:05:01	Ginkgo Bioworks Reports First Quarter 2026 Financial Results, Completes Divestiture of Biosecurity and Continues to Scale Autonomous Lab	PR Newswire	43.58	0.539	0.0118	0.4492	0.5272	positive		YES	NYSE	10.64	9.13	2026-05-07 16:05:01				-0.0447	-0.033	-0.0167	-0.0256	0.039	-0.0521
NUS	"[""NUS""]"	nBw7tbGfNa	2026-05-07 16:05:02	Nu Skin Enterprises Announces Quarterly Dividend	Business Wire	48.02	0.1067	0.112	0.7813	-0.0053	neutral		NO:sentiment_score	NYSE	7.38	2.64	2026-05-07 16:05:02				0.1836	0.139	0.1031	0.1031	0.1029	0.1828
INLX	"[""INLX""]"	nBw3LYYqLa	2026-05-07 16:05:02	Intellinetics to Host First Quarter 2026 Financial Results Conference Call on May 14	Business Wire	2.88	0.1119	0.0246	0.8635	0.0873	positive		YES	NYSE American	7.2	-3.49	2026-05-07 16:05:02				0.1634	0.0705	0.0557	0.0933	0.0504	0.1634
OWLT	"[""OWLT""]"	nBw4ntPRga	2026-05-07 16:05:02	Owlet Announces First Quarter 2026 Financial Results; Updates 2026 Guidance	Business Wire	15.17	0.211	0.0264	0.7627	0.1846	positive		YES	NYSE	5.25	2.34	2026-05-07 16:05:02									
PUBM	"[""PUBM""]"	nBw6Jb9BQa	2026-05-07 16:05:02	PubMatic Announces First Quarter 2026 Financial Results	Business Wire	38.0	0.1281	0.1009	0.7711	0.0272	neutral		NO:sentiment_score	NASDAQ	10.68	3.69	2026-05-07 16:05:02				0.4985	0.5907	0.4316	0.7998	0.5331	0.6121
PRTA	"[""PRTA""]"	nBwbBQzgFa	2026-05-07 16:05:02	Prothena Reports First Quarter 2026 Financial Results and Business Highlights	Business Wire	43.33	0.1243	0.0342	0.8415	0.0901	positive		YES	NASDAQ	11.21	0.27	2026-05-07 16:05:02				0.0	0.0107	0.0107	0.0107	0.0107	0.0
NEPH	"[""NEPH""]"	nGNXVYgLl	2026-05-07 16:05:02	Nephros Announces Financial Results for Quarter Ended March 31, 2026	Globe Newswire	9.25	0.0925	0.0979	0.8095	-0.0054	neutral		NO:sentiment_score	NASDAQ	3.3	2.48	2026-05-07 16:05:02				0.3237	0.3817	0.1742	0.6734	0.3962	0.4837
XPOF	"[""XPOF""]"	nBw4XXsp4a	2026-05-07 16:05:02	Xponential Fitness, Inc. Announces First Quarter 2026 Financial Results	Business Wire	28.32	0.096	0.0984	0.8056	-0.0025	neutral		NO:sentiment_score	NYSE	6.73	-4.27	2026-05-07 16:05:02				0.1869	0.3477	0.1311	0.6633	0.5643	0.3874
PBYI	"[""PBYI""]"	nBwbbxjfSa	2026-05-07 16:05:02	Puma Biotechnology Reports First Quarter 2026 Financial Results	Business Wire	38.48	0.1414	0.1053	0.7532	0.0361	neutral		NO:sentiment_score	NASDAQ	7.6	0.13	2026-05-07 16:05:02				0.7115	0.7115	0.7115	0.7115	0.7115	0.7115
SRTS	"[""SRTS""]"	nBw8TJLP7a	2026-05-07 16:05:02	Sensus Healthcare Reports First Quarter 2026 Financial Results and Business Highlights	Business Wire	14.77	0.1339	0.0416	0.8245	0.0924	positive		YES	NASDAQ	4.28	4.65	2026-05-07 16:05:02				0.3427	0.4985	0.2373	0.7699	0.7076	0.5543
TLPH	"[""TLPH""]"	nPn61PBNfa	2026-05-07 16:05:03	Talphera to Host First Quarter Financial Results and Corporate Update Call and Webcast on Wednesday, May 13, 2026	PR Newswire	37.14	0.0601	0.0161	0.9237	0.044	neutral		NO:sentiment_score	NASDAQ	0.9	3.45	2026-05-07 16:05:03				0.1903	0.2065	0.1102	0.2185	0.0938	0.2762
GTIM	"[""GTIM""]"	nBw8p65Zqa	2026-05-07 16:05:03	Good Times Restaurants Reports Results for the Fiscal 2026 Second Quarter Ended March 31, 2026	Business Wire	7.85	0.0657	0.1398	0.7945	-0.0741	negative		NO:sentiment_score	NASDAQ	1.3	0.0	2026-05-07 16:05:03				0.0716	0.0449	0.0326	0.0453	0.0596	0.0716
GWH	"[""GWH""]"	nBw7KLl8Ya	2026-05-07 16:05:03	ESS Tech, Inc. Announces First Quarter 2026 Financial Results	Business Wire	21.0	0.1134	0.1164	0.7702	-0.003	neutral		NO:sentiment_score	NYSE	1.19	4.39	2026-05-07 16:05:03				0.1333	0.2012	0.0938	0.2732	0.4901	0.2348
SITC	"[""SITC""]"	nBw3CXK4da	2026-05-07 16:05:03	SITE Centers Reports First Quarter 2026 Results	Business Wire	49.81	0.0537	0.0498	0.8965	0.0039	neutral		NO:sentiment_score	NYSE	5.71	1.6	2026-05-07 16:05:03				0.4299	0.2726	0.1039	0.3099	0.2403	0.4687
HGBL	"[""HGBL""]"	nBw89Hyfpa	2026-05-07 16:05:03	Heritage Global Inc. Reports First Quarter 2026 Results	Business Wire	29.81	0.0455	0.0561	0.8985	-0.0106	neutral		NO:sentiment_score	NASDAQ	1.43	10.85	2026-05-07 16:05:03				0.2047	0.4572	0.1535	0.3579	0.1521	0.4956
ASLE	"[""ASLE""]"	nGNX6wYwnb	2026-05-07 16:05:03	AerSale Reports First Quarter 2026 Results	Globe Newswire	33.44	0.0547	0.0414	0.9039	0.0134	neutral		NO:sentiment_score	NASDAQ	7.52	0.94	2026-05-07 16:05:03				0.1524	0.1883	0.121	0.6239	0.2716	0.2088
LPCN	"[""LPCN""]"	nPn26jLlwa	2026-05-07 16:05:04	Lipocine Announces Financial Results for the First Quarter Ended March 31, 2026	PR Newswire	6.93	0.072	0.0653	0.8627	0.0067	neutral		NO:sentiment_score	NASDAQ	2.46	2.5	2026-05-07 16:05:04				0.2205	0.2332	0.1864	0.7543	0.3287	0.2417
IMA	"[""IMA""]"	nGNX4G2MYq	2026-05-07 16:05:04	ImageneBio Reports First Quarter 2026 Financial Results and Provides IMG-007 Program Update	Globe Newswire	6.83	0.0665	0.0181	0.9154	0.0483	neutral		NO:sentiment_score	NASDAQ	6.11	0.49	2026-05-07 16:05:04				0.2031	0.2351	0.1692	0.3249	0.3797	0.2592
EVCM	"[""EVCM""]"	nGNX4zz7Px	2026-05-07 16:05:04	EverCommerce Announces First Quarter 2026 Financial Results	Globe Newswire	10.9	0.1422	0.1005	0.7573	0.0417	neutral		NO:sentiment_score	NASDAQ	11.87	7.62	2026-05-07 16:05:04				0.156	0.2644	0.1088	0.4652	0.2357	0.3013
FLUX	"[""FLUX""]"	nGNX5G3bQG	2026-05-07 16:05:06	Flux Power Reports 2026 Fiscal Third Quarter Financial Results	Globe Newswire	17.04	0.1841	0.1722	0.6437	0.0119	neutral		NO:sentiment_score	NASDAQ	1.36	0.0	2026-05-07 16:05:06				0.294	0.3599	0.1604	0.294	0.0965	0.4438
GSIT	"[""GSIT""]"	nGNXbcY7fG	2026-05-07 16:05:06	GSI Technology, Inc. Announces Fourth Quarter and Fiscal Year 2026 Results	Globe Newswire	28.62	0.0602	0.0389	0.9009	0.0212	neutral		NO:sentiment_score	NASDAQ	8.95	3.23	2026-05-07 16:05:06				-0.0307	-0.0107	0.0004	0.0004	-0.0304	-0.0307
DH	"[""DH""]"	nGNXY5g8K	2026-05-07 16:05:07	Definitive Healthcare Reports Financial Results for First Quarter 2026	Globe Newswire	26.59	0.1176	0.0983	0.7841	0.0194	neutral		NO:sentiment_score	NASDAQ	1.0	6.38	2026-05-07 16:05:07				0.4233	0.5348	0.2506	0.866	0.4424	0.6092
FDMT	"[""FDMT""]"	nGNX9DYVzg	2026-05-07 16:05:07	4DMT Reports First Quarter 2026 Financial Results, Operational Highlights and Expected Upcoming Milestones	Globe Newswire	45.5	0.2411	0.0263	0.7326	0.2148	positive		YES	NASDAQ	10.39	1.66	2026-05-07 16:05:07				0.629	0.629	0.629	0.629	0.629	0.629
WEST	"[""WEST""]"	nGNX2fJ8Yr	2026-05-07 16:05:07	Westrock Coffee Company Reports First Quarter 2026 Results and Reaffirms 2026 Outlook	Globe Newswire	47.49	0.2401	0.065	0.6949	0.175	positive		YES	NASDAQ	6.65	9.56	2026-05-07 16:05:07				-0.002	-0.002	-0.002	-0.002	-0.002	-0.002
PHUN	"[""PHUN""]"	nGNX78k8w2	2026-05-07 16:05:07	Phunware Reports First Quarter 2026 Financial Results	Globe Newswire	18.23	0.1696	0.0994	0.7311	0.0702	positive		YES	NASDAQ	2.07	2.99	2026-05-07 16:05:07				0.4909	0.5472	0.3365	0.7645	0.2809	0.5962
ICCC	"[""ICCC""]"	nGNX7KzG5r	2026-05-07 16:05:07	ImmuCell to Announce Unaudited Financial Results for the Quarter Ended March 31, 2026	Globe Newswire	5.65	0.0949	0.0807	0.8244	0.0142	neutral		NO:sentiment_score	NASDAQ	8.82	1.38	2026-05-07 16:05:07				0.1679	0.1948	0.1679	0.1679	0.1159	0.1948
PYXS	"[""PYXS""]"	nGNX53zfp	2026-05-07 16:05:07	Pyxis Oncology Appoints Nelson Azoulay as Chief Business Officer	Globe Newswire	48.56	0.0706	0.0388	0.8906	0.0318	neutral		NO:sentiment_score	NASDAQ	2.42	3.86	2026-05-07 16:05:07				0.4913	0.5698	0.3197	0.7134	0.3276	0.6404
RWAY	"[""RWAY""]"	nGNX20jfDx	2026-05-07 16:05:07	Runway Growth Finance Corp. Reports First Quarter 2026 Financial Results	Globe Newswire	33.54	0.0639	0.076	0.8601	-0.0121	neutral		NO:sentiment_score	NASDAQ	6.95	1.02	2026-05-07 16:05:07				0.4993	0.3251	0.1678	0.2072	0.1974	0.4993
CAMP	"[""CAMP""]"	nGNX5kDb53	2026-05-07 16:05:07	CAMP4 Reports First Quarter 2026 Financial Results and Corporate Highlights	Globe Newswire	21.26	0.0737	0.0616	0.8648	0.0121	neutral		NO:sentiment_score	NASDAQ	4.4	8.37	2026-05-07 16:05:08				0.5215	0.5215	0.5215	0.5215	0.5215	0.5215
LONA	"[""LONA""]"	nGNX9J0x4f	2026-05-07 16:05:08	LeonaBio Reports First Quarter 2026 Financial Results and Provides Business Update	Globe Newswire	7.22	0.0624	0.0232	0.9143	0.0392	neutral		NO:sentiment_score	NASDAQ	9.92	5.31	2026-05-07 16:05:08				0.3876	0.4422	0.2512	0.7577	0.4947	0.493
TOMZ	"[""TOMZ""]"	nGNX6wN9BD	2026-05-07 16:05:08	TOMI Environmental Solutions Highlights SteraMist Efficacy in Neutralizing Biohazards Amid Rising Hantavirus Concerns	Globe Newswire	11.66	0.9066	0.0256	0.0678	0.881	positive		YES	NASDAQ	0.73	15.87	2026-05-07 16:05:08				0.4695	0.6613	0.4695	0.4695	0.6801	0.6613
CRNC	"[""CRNC""]"	nGNX67S0fw	2026-05-07 16:05:09	Cerence AI Delivers Strong Q2 FY26 Results with Revenue Above Guidance; Raises and Refines Full-Year Outlook	Globe Newswire	40.41	0.9221	0.0178	0.0601	0.9043	positive		YES	NASDAQ	10.94	6.84	2026-05-07 16:05:09				0.4206	0.5325	0.2558	0.8964	0.5896	0.607
ALGS	"[""ALGS""]"	nGNX8bD7sj	2026-05-07 16:05:10	Aligos Therapeutics Reports Recent Business Progress and First Quarter 2026 Financial Results	Globe Newswire	4.84	0.2218	0.0615	0.7167	0.1603	positive		YES	NASDAQ	6.74	5.81	2026-05-07 16:05:10				0.5587	0.6175	0.4025	0.7344	0.5543	0.6483
NXTC	"[""NXTC""]"	nGNXbdMT9k	2026-05-07 16:05:11	NextCure Provides Business Update and Reports First Quarter 2026 Financial Results	Globe Newswire	2.38	0.068	0.0948	0.8372	-0.0268	neutral		NO:sentiment_score	NASDAQ	10.66	2.3	2026-05-07 16:05:11				0.3967	0.4813	0.2301	0.7409	0.4189	0.5812
BCIC	"[""BCIC""]"	nGNXc3C1Nf	2026-05-07 16:05:12	BCP Investment Corporation Announces First Quarter 2026 Financial Results	Globe Newswire	12.11	0.1157	0.1052	0.7791	0.0106	neutral		NO:sentiment_score	NASDAQ	8.25	4.43	2026-05-07 16:05:12				0.2377	0.4005	0.1352	0.3861	0.1205	0.4897
HOWL	"[""HOWL""]"	nGNX4PxJl1	2026-05-07 16:05:13	Werewolf Therapeutics Reports First Quarter 2026 Financial Results and Recent Corporate Updates	Globe Newswire	40.43	0.1153	0.0602	0.8245	0.055	positive		YES	NASDAQ	0.75	13.64	2026-05-07 16:05:13				0.088	0.085	0.0541	0.088	0.0741	0.1068
